Company,Role,Required Skills,Preferred Skills,Departments
TCS,Software Engineer,Java Python SQL OOP DBMS Data Structures,Communication Aptitude Problem Solving,CSE IT ECE CSBS
COGNIZANT,Programmer Analyst Trainee,Java SQL Python Web Development OOP,Cloud Testing Communication Aptitude,CSE IT ECE CSBS
INFOSYS,Systems Engineer,Java Python SQL OOP Data Structures,Communication Aptitude Logical Reasoning,CSE IT ECE
WIPRO,Project Engineer,Java Python SQL DBMS OOP,Communication Aptitude SDLC,CSE IT ECE CSBS
ACCENTURE,Associate Software Engineer,Java Python SQL Web Development,Cloud Agile Communication,CSE IT ECE CSBS
CAPGEMINI,Analyst,Java SQL Python OOP,Testing Cloud Communication,CSE IT ECE CSBS
IBM,Associate System Engineer,Python Java SQL Data Structures,Cloud AI Communication,CSE IT ECE CSBS
DELOITTE,Analyst,SQL Python Excel Data Analysis,Consulting Communication Problem Solving,CSE IT ECE CSBS
PERSISTENT,Software Engineer,Java Python Data Structures OOP DBMS,Spring APIs Cloud,CSE IT ECE CSBS
HEXAWARE TECHNOLOGIES,Graduate Engineer Trainee,Java SQL Python Testing,Communication Aptitude,CSE IT ECE CSBS
MINDTECK,Software Trainee,Python Java Embedded C SQL,IoT Testing Communication,CSE IT ECE AEIE
GEE BEE NETWORK,Network Engineer,Networking CCNA Linux Troubleshooting,Communication Hardware Support,CSE IT ECE
TEOCO CORPORATIONS,Software Engineer,Java SQL Python Linux,Telecom Analytics Communication,CSE IT ECE
ASAHI INDIA GLASS,Graduate Engineer Trainee,Manufacturing Quality Control AutoCAD,Production Maintenance Communication,ME EE EEE
AURANGABAD AUTRO ANCILLARY,Graduate Engineer Trainee,Mechanical AutoCAD Manufacturing Quality,Production Maintenance,ME
APONIAR SOLUTIONS,Software Developer,Python JavaScript SQL Web Development,React APIs Communication,CSE IT
CEASEFIRE INDUSTRIES,Sales Engineer,Communication Sales Product Knowledge,Mechanical Electrical Safety,ME EE EEE
AMAZON SOFTWARE,Software Development Engineer,Data Structures Algorithms Java Python OOP,Cloud Distributed Systems Problem Solving,CSE IT CSBS
FULL CREATIVE,Software Engineer,JavaScript HTML CSS React,Communication UI APIs,CSE IT
TRAINZ,Software Trainee,Python SQL Web Development,Communication Aptitude,CSE IT
KPIT,Automotive Software Engineer,C C++ Embedded Systems,Automotive MATLAB Communication,CSE IT ECE EE EEE
IBS SOFTWARE,Software Engineer,Java SQL OOP Web Development,Travel Domain APIs Communication,CSE IT
